candidate_id,complete_name,name,surname,parti,annonce_candidature,retrait_candidature,second_round
EP,Edouard Philippe,Edouard,Philippe,Horizon,,,
JB,Jordan Bardella,Jordan,Bardella,Rassemblement National,,,
MLP,Marine Le Pen,Marine,Le Pen,Rassemblement National,,,
RG,Raphaël Glucksmann,Raphaël,Glucksmann,Place Publique,,,
FH,François Hollande,François,Hollande,Parti Socialiste,,,
FR,François Ruffin,François,Ruffin,La France Insoumise,,,
NS,Nicolas Sarkozy,Nicolas,Sarkozy,Les Républicains,,,
FRo,Fabien Roussel,Fabien,Roussel,Parti Communiste Français,,,
GD,Gérald Darmanin,Gérald,Darmanin,,,,
BLM,Bruno Le Maire,Bruno,Le Maire,,,,
DV,Dominique de Villepin,Dominique,de Villepin,,,,
FB,François Bayrou,François,Bayrou,Mouvement Démocrate,,,
MM,Marion Maréchal,Marion,Maréchal,,,,
XB,Xavier Bertrand,Xavier,Bertrand,Les Républicains,,,
EDM,Eric Dupond-Moretti,Eric,Dupond-Moretti,,,,
OF,Olivier Faure,Olivier,Faure,Parti Socialiste,,,
RD,Rachida Dati,Rachida,Dati,Les Républicains,,,
EC,Eric Ciotti,Eric,Ciotti,Les Républicains,,,
BC,Bernard Cazeneuve,Bernard,Cazeneuve,Parti Socialiste,,,
GL,Gérard Larcher,Gérard,Larcher,Les Républicains,,,
YJ,Yannick Jadot,Yannick,Jadot,Europe Écologie Les Verts,,,
MT,Marine Tondelier,Marine,Tondelier,Europe Écologie Les Verts,,,
LW,Laurent Wauquiez,Laurent,Wauquiez,Les Républicains,,,
LB,Laurent Berger,Laurent,Berger,,,,
YBP,Yaël Braun-Pivet,Yaël,Braun-Pivet,,,,
CA,Clémentine Autain,Clémentine,Autain,L’après,,,
JLM,Jean-Luc Mélenchon,Jean-Luc,Mélenchon,La France Insoumise,,,
JYLD,Jean-Yves Le Drian,Jean-Yves,Le Drian,,,,
SR,Sandrine Rousseau,Sandrine,Rousseau,Europe Écologie Les Verts,,,
EZ,Eric Zemmour,Eric,Zemmour,Reconquête,,,
MB,Manuel Bompard,Manuel,Bompard,La France Insoumise,,,
MBa,Michel Barnier,Michel,Barnier,Les Républicains,,,
AH,Anne Hidalgo,Anne,Hidalgo,Parti Socialiste,,,
MP,Mathilde Panot,Mathilde,Panot,La France Insoumise,,,
AOC,Amélie Oudéa-Castéra,Amélie,Oudéa-Castéra,,,,
GA,Gabriel Attal,Gabriel,Attal,La République En Marche,,,
BR,Bruno Retailleau,Bruno,Retailleau,Les Républicains,,,
DL,David Lisnard,David,Lisnard,Les Républicains,,,
JC,Jean Castex,Jean,Castex,Les Républicains,,,
CV,Catherine Vautrin,Catherine,Vautrin,,,,
SL,Sébastien Lecornu,Sébastien,Lecornu,Les Républicains,,,
VP,Valérie Pécresse,Valérie,Pécresse,Les Républicains,,,
EB,Elisabeth Borne,Elisabeth,Borne,La République En Marche,,,
EL,Eric Lombard,Eric,Lombard,,,,
BV,Boris Vallaud,Boris,Vallaud,Parti Socialiste,,,
MV,Manuel Valls,Manuel,Valls,,,,
AdM,Amélie de Montchalin,Amélie,de Montchalin,,,,
AB,Aurore Bergé,Aurore,Bergé,La République En Marche,,,
SK,Sarah Knafo,Sarah,Knafo,,,,
NDA,Nicolas Dupont-Aignan,Nicolas,Dupont-Aignan,,,,
FRe,François Rebsamen,François,Rebsamen,,,,
SRo,Ségolène Royal,Ségolène,Royal,,,,
FXB,François-Xavier Bellamy,François-Xavier,Bellamy,,,,
RM,Robert Ménard,Robert,Ménard,,,,
HM,Hervé Morin,Hervé,Morin,,,,
EM,Emmanuel Macron,Emmanuel,Macron,,,,
CE,Christian Estrosi,Christian,Estrosi,,,,
APR,Agnès Pannier-Runacher,Agnès,Pannier-Runacher,,,,
JNB,Jean-Noël Barrot,Jean-Noël,Barrot,,,,
JPT,Jean-Philippe Tanguy,Jean-Philippe,Tanguy,,,,
LSM,Laurent Saint-Martin,Laurent,Saint-Martin,,,,
FBa,François Barouin,François,Barouin,,,,
RH,Rima Hassan,Rima,Hassan,La France Insoumise,,,
NA,Nathalie Arthaud,Nathalie,Arthaud,Lutte Ouvrière,,,
PP,Philippe Poutou,Philippe,Poutou,Nouveau Parti Anticapitaliste,,,